상품번호,최저연회비,全가맹점,백화점,대형마트,편의점,온라인쇼핑,해외직구,대중교통,병원,교육,영화,요식,커피,베이커리,배달앱,일반주유,전기차충전,아파트관리비/공과금,통신,렌탈,정기구독/스트리밍,호텔/숙박,스포츠/레저,항공/라운지,항공구분
ALSB7E,1.0,0.09552162807604207,0.07789235250427048,0.04638166448874602,0.10682182284934344,0.10596114886167544,0.08195741874598787,0.11158798816555808,0.8442686556390945,0.08173798095972397,0.12141300022933428,0.1485834038220005,0.4202744772142109,0.11673064274954283,0.10654466818613004,0.048952848393906165,0.08087100723390837,0.0922858230017867,0.10002725050438763,0.08226722791568812,0.09804361262903122,0.8682256651406826,0.8263949159918742,0.24715548414953187,0.0
ALSB7F,1.0,0.09552162807604207,0.07789235250427048,0.04638166448874602,0.10682182284934344,0.10596114886167544,0.08195741874598787,0.11158798816555808,0.8442686556390945,0.08173798095972397,0.12141300022933428,0.1485834038220005,0.4202744772142109,0.11673064274954283,0.10654466818613004,0.048952848393906165,0.08087100723390837,0.0922858230017867,0.10002725050438763,0.08226722791568812,0.09804361262903122,0.8682256651406826,0.8263949159918742,0.24715548414953187,1.0
ALWBPA,0.016525562035930218,0.1062204469927573,0.09397040233131354,0.06160519550453988,0.12186267673388448,0.11777926690864561,0.09337078723960614,0.12403368199703986,0.13163395095631095,0.09085442711268185,0.1350117603190877,0.7199996672343854,0.11939770646738439,0.12974991000488076,0.11842786763636146,0.07236465816775939,0.08989075758896879,0.10257869696562666,0.11395701899732137,0.0914427023357871,0.10897866760199959,0.9621242680431007,0.9160756541274471,0.2779735599621855,0.0
ALWBPB,0.016525562035930218,0.1062204469927573,0.09397040233131354,0.06160519550453988,0.12186267673388448,0.11777926690864561,0.09337078723960614,0.12403368199703986,0.13163395095631095,0.09085442711268185,0.1350117603190877,0.7199996672343854,0.11939770646738439,0.12974991000488076,0.11842786763636146,0.07236465816775939,0.08989075758896879,0.10257869696562666,0.11395701899732137,0.0914427023357871,0.10897866760199959,0.9621242680431007,0.9160756541274471,0.2779735599621855,1.0
ALMA1V,0.007490947862197405,0.034834844665804825,0.6484710503235879,0.3777665719560448,0.021505766086284347,0.03892537829520887,0.017217504261474604,0.040992426933912335,0.043504272627555754,0.030026871774458477,0.6739727323070399,0.6684769744267938,0.38131772866592933,0.8466978460925717,0.03913973714928859,0.6099737471345643,0.029708384474047705,0.033901676324014474,0.02101359020542836,0.030221293392134457,0.03601683024403567,0.033831514984351094,0.8838223818058096,0.23973450191249296,0.0
ALMA1U,0.005967622359148283,0.034834844665804825,0.6484710503235879,0.3777665719560448,0.021505766086284347,0.03892537829520887,0.017217504261474604,0.040992426933912335,0.043504272627555754,0.030026871774458477,0.6739727323070399,0.6684769744267938,0.38131772866592933,0.8466978460925717,0.03913973714928859,0.6099737471345643,0.029708384474047705,0.033901676324014474,0.02101359020542836,0.030221293392134457,0.03601683024403567,0.033831514984351094,0.8838223818058096,0.23973450191249296,0.5
ALRB01,0.008657614687687415,0.11144824999448211,0.10182667859900298,0.06904392512140234,0.12921214415624266,0.12355399713649935,0.9141790802271897,0.13011506687487123,0.1380879778453459,0.09530902952576094,0.1416565721782621,0.1732528728460646,1.0,0.13611156216177228,0.12423439882822572,0.08380445637018913,0.0942981111808053,0.10760814160090966,0.12076357270269511,0.09592614794684429,0.11432190349156086,0.10738544077333856,0.17487089878021905,0.6045430178516754,0.0
ALRB02,0.008657614687687415,0.11144824999448211,0.10182667859900298,0.06904392512140234,0.12921214415624266,0.12355399713649935,0.9141790802271897,0.13011506687487123,0.1380879778453459,0.09530902952576094,0.1416565721782621,0.1732528728460646,1.0,0.13611156216177228,0.12423439882822572,0.08380445637018913,0.0942981111808053,0.10760814160090966,0.12076357270269511,0.09592614794684429,0.11432190349156086,0.10738544077333856,0.17487089878021905,0.6045430178516754,1.0
ALPAPE,0.0022729715126857883,0.06988758893644872,1.0,0.6162895080650993,0.07078440225454717,0.07764530363327721,0.0546113409258543,0.08176849077251787,0.08677892432781331,0.05989525800889328,0.08883079175340051,1.0,0.6229785772669204,0.08553688117734277,0.0780728899289138,1.0,0.059259964423402776,0.06762441541073438,0.06665195613470147,0.060283075062920015,0.07184355920699075,0.0674844630516291,0.10965901655256469,0.380803612794416,0.0
ALPAPF,0.0021176037845225945,0.06988758893644872,1.0,0.6162895080650993,0.07078440225454717,0.07764530363327721,0.0546113409258543,0.08176849077251787,0.08677892432781331,0.05989525800889328,0.08883079175340051,1.0,0.6229785772669204,0.08553688117734277,0.0780728899289138,1.0,0.059259964423402776,0.06762441541073438,0.06665195613470147,0.060283075062920015,0.07184355920699075,0.0674844630516291,0.10965901655256469,0.380803612794416,1.0
ALNA7M,0.0018292308958786404,0.4316042820695809,0.06101473623512199,0.030401062518357502,0.09103298260102947,0.0935553121112028,0.06997645987063494,0.09852336609069982,0.10456046882767991,0.0721681710907944,0.1071379695508605,0.6691571114592397,0.4234171133309781,0.1030639232652249,0.09407051351387476,0.6323869227406798,0.07140270187512202,0.08148108119931964,0.08540475027140705,0.07263545428544688,0.08656475395517758,0.9149222290409088,0.8588743058577349,0.037401353323414835,0.0
ALNA7N,0.0018292308958786404,0.4316042820695809,0.06101473623512199,0.030401062518357502,0.09103298260102947,0.0935553121112028,0.06997645987063494,0.09852336609069982,0.10456046882767991,0.0721681710907944,0.1071379695508605,0.6691571114592397,0.4234171133309781,0.1030639232652249,0.09407051351387476,0.6323869227406798,0.07140270187512202,0.08148108119931964,0.08540475027140705,0.07263545428544688,0.08656475395517758,0.9149222290409088,0.8588743058577349,0.037401353323414835,1.0
ALNA7L,0.0015683003158864725,0.4316042820695809,0.06101473623512199,0.030401062518357502,0.09103298260102947,0.0935553121112028,0.06997645987063494,0.09852336609069982,0.10456046882767991,0.0721681710907944,0.1071379695508605,0.6691571114592397,0.4234171133309781,0.1030639232652249,0.09407051351387476,0.6323869227406798,0.07140270187512202,0.08148108119931964,0.08540475027140705,0.07263545428544688,0.08656475395517758,0.9149222290409088,0.8588743058577349,0.037401353323414835,0.5
ALXC6E,0.0014949752540381017,0.8403347169777228,0.1006215023792922,0.06790280180373448,0.1280847139255374,0.12266813628986936,0.7749814772172161,0.12918216428998966,0.1370979108641186,0.09462568022469464,0.140637238213383,0.17201067963356226,0.12751279905251903,0.1351356657400681,0.1233436596188341,0.08204955719377391,0.09362200998989077,0.1068366097878389,0.1197194270560307,0.09523837401315062,0.11350223516384579,0.106615505686786,0.17361256078816814,0.511597489882267,0.5
ALOBFQ,0.0016955046529695394,0.14702057262532148,0.15528431538811902,0.11966038672244345,0.17922122564357335,0.16284785857379894,0.13689585968501813,0.17149554445697449,0.18200407925335943,0.12562014763367044,0.18687086032144434,0.22835246117995145,0.19420759921047862,0.17939910435023218,0.16374464832593638,0.16164598795702678,0.1242877270606062,0.14183074470228968,0.167078425104709,0.12643352814493664,0.1506796834028244,0.14153721835985575,0.23068661621376144,1.0,0.5
BCECA3,0.00034420988579507514,0.07559605346487538,0.5753245814967809,0.350927264963475,0.6011855556122224,0.451194658675601,0.35368620995427535,0.08840901832249576,0.09382635582999739,0.0647594313250867,0.09608654962791317,0.11771977510185568,0.06324573243241688,0.0924834447084901,0.08441329283449844,0.005350487604106247,0.06407254470520218,0.0731162838473848,0.07408432693657321,0.06517874351626572,1.0,0.07296496577163802,0.11861603761651493,0.22524368632886668,0.5
AXGC75,0.0002360279149459163,0.10109924014266397,0.08627431741284157,0.05431814336097224,0.11466306670735892,0.39077521877566,0.08790754672986746,0.11807629800913352,0.1253115232167983,0.08649065510658747,0.12850243776053724,0.5284253017809603,0.3475278098796022,0.1235179734546636,1.0,0.06115812018256,0.0855732709893686,0.09765180390751439,0.10728925254744032,0.08705067525140928,0.8035732090956907,0.0974497082554524,0.15863250423959252,0.05195774305201249,0.5
AYAAZF,0.00014770841999744966,0.08657519559502518,0.06444776686133222,0.03365163387362076,0.8036693964644596,0.5948225935405108,0.07241347455887841,0.10118080580182992,0.1073807454087831,0.07411474043110454,0.7915358000818465,0.13472586767299496,0.5084996303731337,0.9757814721339056,0.09660784783544103,0.029375717775034515,0.07332862445545948,0.08367884472970441,0.08837907379737504,0.07459462750813625,0.08889963778905838,0.08350566686700502,0.13584315829566532,0.03937971279793401,0.5
BELBX9,0.00011636819367739215,0.2545719061707969,0.08888882957957463,0.2167220735015815,0.36806484621771823,0.11404407344362062,0.08976351751680839,0.4142792003945916,0.46804679419716305,0.08797311471087263,0.13071378329619684,0.15991763773814782,0.26358296586214786,0.1256350854805125,0.11467210476839176,0.06496520264327138,0.9398399318549538,0.09932556686375588,0.10955442460476862,0.08854273366427394,0.105522571994189,0.09912000726937532,0.16136234568209046,0.053464413245051794,0.5
AQCAFX,0.00014770841999744966,0.48522029344346906,0.06772078533439324,0.45463203960254844,0.09730642407743563,0.0984845716132267,0.07473690098940437,0.8723831162133071,1.0,0.0759705809707395,0.11280992316663484,0.1380994169225867,0.08737021165935324,0.10849417422165496,0.09902691804221804,0.7282005729082643,0.07516478057215817,0.0857741714009698,0.09121476532049433,0.07646248446834857,0.09112569364256519,0.08559665714720574,0.1392605535495523,0.041265861746626796,0.5
AOBCB7,0.00014770841999744966,0.3209625757729771,0.4558663760365074,0.03325058382912358,0.09384831063705827,0.09576741252293074,0.2898017132518936,0.10085293534524953,0.10703278441216804,0.07387457596916028,0.10968336829150391,0.1342892964142757,0.0828599668835412,0.10550085326892483,0.9651200671265798,0.028758954992351423,0.07309100735614805,0.08340768834969511,0.46993370984767746,0.07435290800031341,0.7738997408225184,0.08323507165968518,0.13540091292227668,0.039135626122524574,0.5
AOBCB6,0.00014770841999744966,0.3209625757729771,0.4558663760365074,0.03325058382912358,0.09384831063705827,0.09576741252293074,0.2898017132518936,0.10085293534524953,0.10703278441216804,0.07387457596916028,0.10968336829150391,0.1342892964142757,0.0828599668835412,0.10550085326892483,0.9651200671265798,0.028758954992351423,0.07309100735614805,0.08340768834969511,0.46993370984767746,0.07435290800031341,0.7738997408225184,0.08323507165968518,0.13540091292227668,0.039135626122524574,0.5
AWABHH,0.00014770841999744966,0.3081920628076458,0.43673710324140863,0.26228634105446996,0.07537219776537671,0.3545457211712171,0.276126543412831,0.5412613471778847,0.09080775443027903,0.06267597717924879,0.09297871653024721,0.11393246955477843,0.05876249495453424,0.08950804772990928,0.0816975304919138,0.0,0.062011189221236926,0.975255726398641,0.4534276550806414,0.0630817991697692,0.07517899458192122,0.07061752143299461,0.11477950847642074,0.02775413892935297,0.5
BOACF4,0.0,0.06180016494516276,0.02721616397545927,0.427897881968225,0.05941475823101692,0.5425229660197083,0.04598377643530442,0.8623994306508308,0.0767945289928007,0.0530039772136357,0.07855125160436695,0.09635069594374211,0.44182059374389915,0.07569538977820515,0.06909017201629547,0.688516240214158,0.05244177766982027,0.05984385229601636,0.7193069053812247,0.05334717377005826,0.06357756025674707,0.059720002230091114,0.9494791652965044,0.017924182002942584,0.5
BCCBYF,4.6795860440702394e-05,0.8659733179274895,0.12465462998000428,0.09065861282383626,0.1505674630474389,1.0,0.11515268248585225,0.14778572325074743,0.15684141866316686,0.10825275042387639,0.1609643761414424,0.19678198485228865,0.15683592668302362,0.15459659007984883,0.1411064139182868,0.1170450334929099,0.10710454136288892,0.12222217930728028,0.14054134931901355,0.10895367841309125,0.12984772322447605,0.12196923394390598,0.19870581854846497,0.07407524308902032,0.5
BECB97,0.00011636819367739215,0.6167048924696301,0.07974048796648449,0.596169057845713,0.10855073498390123,0.10731961480090271,0.08326935963952169,0.11301859252176126,0.11994390254024599,0.08278589582538803,0.9490863006306555,0.1504883047729154,0.10203560520351602,0.11822717807350736,0.10791061508546078,0.05164398297447514,0.0819078071363111,0.093468965583462,0.9478470065908299,0.08332192794714965,0.09930057246521796,0.09327552653992892,0.15181045971907836,0.048192479995107465,0.5
BEAB7G,0.00011636819367739215,0.07628188476672351,0.8289103096005435,0.5113246336422512,0.07977377482233909,0.08470856393683955,0.49472545686143743,0.9948003287158663,0.09467305446458812,0.06534382705904414,0.09695827719041121,0.11878209039654393,0.5274457745002429,0.09331802477572416,0.08517504702554661,0.8245445048464128,0.06465074190402491,0.07377609267351141,0.07497727328273729,0.06576692316633712,0.07837904475560913,0.07362340908796741,0.11969215981826982,0.0304655584390464,0.5
BOAC6A,0.00014770841999744966,0.9891138048402656,0.12580233331867072,1.0,0.15164112797604526,0.1411772238821862,0.11596740574311716,0.1486741372385177,0.15778427097079922,0.10890351191541772,0.16193509973818623,0.19796493990395722,0.15823625426588367,0.15552594759874452,0.14195467523292274,0.1187162444003721,0.10774840039478649,0.12295691803118339,0.1415357013690551,0.1096086535337731,0.13062830291143954,0.12270245208656469,0.19990414846157445,0.074736632403946,0.5
